in_users?,in_wpm?,id_user,font,id_passage,font fam,score,pass fam,pass int
1,1,3,utopia,19,3,1,3,2
1,1,14,utopia,22,3,1,1,4
1,1,23,utopia,28,1,1,1,2
1,1,70,utopia,26,3,1,1,2
1,1,82,utopia,19,3,1,2,3
1,2,82,utopia,28,3,1,1,3
0,2,92,utopia,21,3,0,5,4
0,0,92,utopia,25,3,0,5,3
1,0,157,utopia,26,3,0.5,1,3
1,2,157,utopia,27,3,0.5,1,2
1,2,170,utopia,21,2,0.5,4,4
1,2,170,utopia,25,2,1,1,3
0,2,221,utopia,20,3,1,3,4
0,0,221,utopia,23,3,1,1,3
1,0,243,utopia,23,1,1,1,3
1,1,243,utopia,25,1,1,2,3
1,2,255,utopia,23,3,0.5,1,2
1,2,255,utopia,24,3,1,1,2
0,2,259,utopia,22,3,1,2,2
0,0,259,utopia,28,3,1,1,2
1,0,279,utopia,19,3,1,1,3
1,2,279,utopia,22,3,1,2,3
1,2,359,utopia,19,1,1,1,2
1,2,359,utopia,27,1,1,1,4
1,2,410,utopia,23,3,1,1,2
1,2,410,utopia,24,3,1,1,1
0,1,425,utopia,24,2,0.5,3,5
0,0,425,utopia,25,2,1,4,3
1,0,474,utopia,22,1,1,3,3
1,2,474,utopia,23,1,1,1,3
1,2,476,utopia,19,1,1,1,2
1,2,476,utopia,20,1,0,1,2
1,2,478,utopia,21,1,1,1,3
1,2,478,utopia,27,1,1,1,2
0,2,488,utopia,20,2,1,1,4
0,0,488,utopia,24,2,0.5,1,3
0,0,489,utopia,21,1,1,3,2
0,0,489,utopia,24,1,1,2,2
1,0,491,utopia,22,3,1,3,2
1,2,491,utopia,27,3,1,1,3
1,2,498,utopia,20,1,1,3,3
1,2,498,utopia,28,1,1,1,1
0,2,503,utopia,23,1,1,1,2
0,0,503,utopia,27,1,1,1,3
1,0,515,utopia,22,1,1,2,4
1,2,515,utopia,26,1,1,1,1
1,2,529,utopia,24,3,1,3,4
1,2,529,utopia,27,3,1,1,2
1,2,548,utopia,20,3,1,4,2
1,2,548,utopia,27,3,1,1,1
1,2,559,utopia,25,3,1,1,2
1,2,559,utopia,26,3,1,1,3
1,2,563,utopia,21,3,0.5,2,2
1,2,563,utopia,22,3,1,4,3
1,1,572,utopia,21,2,1,1,2
1,0,572,utopia,27,2,1,1,3
