post_toggle_physical_exertion,post_toggle_rushed,post_toggle_rec_familiarity,comp_pass_fam,pre_language_native,pre_vision_correction,pre_usual_reading_device,pre_read_to_children,pre_language_other,pre_education_level,pre_reading4leisure_frequency,pre_medical_condition,pre_current_device,comp_font,pre_reading4work_frequency,pre_gender,post_toggle_follow_rec,pre_normal_vision,wpm_font,pre_reading_comfort,pre_under_influence,pre_usual_working_device,wpm_wpm
1,2,4.0,1.0,english,glasses,"desktop, tablet, phone",no,none,high school/ged,everyday,none,desktop,calibri,2-3 times a week,male,yes,yes,arial,very comfortable,none,"paper, desktop",245
1,2,4.0,2.0,english,glasses,"desktop, tablet, phone",no,none,high school/ged,everyday,none,desktop,arial,2-3 times a week,male,yes,yes,arial,very comfortable,none,"paper, desktop",212
1,2,4.0,2.0,english,glasses,"desktop, tablet, phone",no,none,high school/ged,everyday,none,desktop,times,2-3 times a week,male,yes,yes,calibri,very comfortable,none,"paper, desktop",296
1,2,4.0,1.0,english,glasses,"desktop, tablet, phone",no,none,high school/ged,everyday,none,desktop,calibri,2-3 times a week,male,yes,yes,calibri,very comfortable,none,"paper, desktop",257
1,2,4.0,1.0,english,glasses,"desktop, tablet, phone",no,none,high school/ged,everyday,none,desktop,noto_sans,2-3 times a week,male,yes,yes,noto_sans,very comfortable,none,"paper, desktop",241
1,2,4.0,2.0,english,glasses,"desktop, tablet, phone",no,none,high school/ged,everyday,none,desktop,arial,2-3 times a week,male,yes,yes,noto_sans,very comfortable,none,"paper, desktop",261
1,2,4.0,3.0,english,glasses,"desktop, tablet, phone",no,none,high school/ged,everyday,none,desktop,utopia,2-3 times a week,male,yes,yes,times,very comfortable,none,"paper, desktop",337
1,2,4.0,2.0,english,glasses,"desktop, tablet, phone",no,none,high school/ged,everyday,none,desktop,times,2-3 times a week,male,yes,yes,times,very comfortable,none,"paper, desktop",302
1,2,4.0,3.0,english,glasses,"desktop, tablet, phone",no,none,high school/ged,everyday,none,desktop,utopia,2-3 times a week,male,yes,yes,utopia,very comfortable,none,"paper, desktop",288
1,2,4.0,1.0,english,glasses,"desktop, tablet, phone",no,none,high school/ged,everyday,none,desktop,noto_sans,2-3 times a week,male,yes,yes,utopia,very comfortable,none,"paper, desktop",225
1,1,1.0,3.0,english,glasses,"paper, laptop, kindle or other e-reader",yes,japanese,associate's degree (2-years of college),everyday,none,laptop,noto_sans,once a week,none,maybe,yes,arial,very comfortable,none,"paper, laptop",442
1,1,1.0,1.0,english,glasses,"paper, laptop, kindle or other e-reader",yes,japanese,associate's degree (2-years of college),everyday,none,laptop,noto_sans,once a week,none,maybe,yes,arial,very comfortable,none,"paper, laptop",476
1,1,1.0,1.0,english,glasses,"paper, laptop, kindle or other e-reader",yes,japanese,associate's degree (2-years of college),everyday,none,laptop,calibri,once a week,none,maybe,yes,calibri,very comfortable,none,"paper, laptop",389
1,1,1.0,1.0,english,glasses,"paper, laptop, kindle or other e-reader",yes,japanese,associate's degree (2-years of college),everyday,none,laptop,calibri,once a week,none,maybe,yes,calibri,very comfortable,none,"paper, laptop",559
1,1,1.0,3.0,english,glasses,"paper, laptop, kindle or other e-reader",yes,japanese,associate's degree (2-years of college),everyday,none,laptop,noto_sans,once a week,none,maybe,yes,noto_sans,very comfortable,none,"paper, laptop",562
