id_user,font,elo,,Desktop,Labtop,device,font_fam,,0.1882352346
3,avenir_next,1582,,1,,Desktop,1,,
4,avantgarde,1436,,,,Laptop,1,,
4,avenir_next,1621,,,,Laptop,1,,
4,lato,1468,,,,Laptop,1,,
4,montserrat,1436,,,,Laptop,1,,
4,open_sans,1473,,,,Laptop,1,,
4,oswald,1436,,,,Laptop,1,,
4,poynter_gothic_text,1500,,,,Laptop,1,,
4,roboto,1495,,,,Laptop,1,,
4,utopia,1468,,,,Laptop,1,,
5,franklin_gothic,1400,,,,Laptop,1,,
5,helvetica,1521,,,,Laptop,1,,
5,oswald,1379,,,,Laptop,1,,
5,roboto,1439,,,,Laptop,1,,
6,avantgarde,1431.82,,,,Laptop,1,,
6,avenir_next,1474.93,,,,Laptop,1,,
6,garamond,1426.99,,,,Laptop,1,,
6,helvetica,1450.24,,,,Laptop,1,,
6,oswald,1178.06,,,,Laptop,1,,
6,times,1493.14,,,,Laptop,1,,
7,arial,1499,,,,Laptop,1,,
7,avantgarde,1374,,,,Laptop,1,,
7,avenir_next,1647,,,,Laptop,1,,
7,calibri,1558,,,,Laptop,1,,
7,franklin_gothic,1403,,,,Laptop,1,,
7,garamond,1629,,,,Laptop,1,,
7,lato,1434,,,,Laptop,1,,
7,noto_sans,1521,,,,Laptop,1,,
7,oswald,1342,,,,Laptop,1,,
7,roboto,1451,,,,Laptop,1,,
7,utopia,1560,,,,Laptop,1,,
10,avantgarde,1275.81,,,,Desktop,1,,
10,avenir_next,1518.48,,,,Desktop,1,,
10,franklin_gothic,1382.16,,,,Desktop,1,,
10,garamond,1592.15,,,,Desktop,1,,
10,helvetica,1534.42,,,,Desktop,1,,
10,lato,1476.76,,,,Desktop,1,,
10,montserrat,1337.89,,,,Desktop,1,,
10,oswald,1298.05,,,,Desktop,1,,
12,calibri,1598.85,,,,Laptop,1,,
14,avenir_next,1404.58,,,,Desktop,1,,
14,garamond,1442.61,,,,Desktop,1,,
14,lato,1510.14,,,,Desktop,1,,
14,montserrat,1516.43,,,,Desktop,1,,
14,noto_sans,1695.04,,,,Desktop,1,,
14,open_sans,1615.04,,,,Desktop,1,,
14,roboto,1579.97,,,,Desktop,1,,
19,avenir_next,1536.15,,,,Laptop,1,,
19,garamond,1506.28,,,,Laptop,1,,
19,oswald,1207.74,,,,Laptop,1,,
20,lato,1609.73,,,,#N/A,1,,
20,montserrat,1499.36,,,,#N/A,1,,
20,open_sans,1594.22,,,,#N/A,1,,
20,poynter_gothic_text,1481.32,,,,#N/A,1,,
20,roboto,1591.74,,,,#N/A,1,,
20,utopia,1451.42,,,,#N/A,1,,
22,arial,1453.89,,,,Desktop,1,,
22,avenir_next,1548.47,,,,Desktop,1,,
22,franklin_gothic,1260.46,,,,Desktop,1,,
22,lato,1456.89,,,,Desktop,1,,
22,montserrat,1555.34,,,,Desktop,1,,
22,noto_sans,1652.78,,,,Desktop,1,,
22,open_sans,1533.6,,,,Desktop,1,,
22,oswald,1125.81,,,,Desktop,1,,
22,roboto,1522.19,,,,Desktop,1,,
22,utopia,1515.28,,,,Desktop,1,,
23,avantgarde,1402.3,,,,Desktop,1,,
