id_user,outlier?,in_post?,font_familiarity,font,device,device,age,gender,language,lang_comf,Start,Stop,minutes,WPM,Comp,WPM_w_outliers,Comp_w_outliers
270,0,0,,montserrat,Laptop,3,30,female,English,Very comfortable,9/14/2019,9/14/2019,,283.8,0.88,291,0.9
117,0,0,3,helvetica,Laptop,3,29,male,English,Very comfortable,9/13/2019,9/13/2019,,340.7,0.86,281.7,0.864
3,0,0,3,utopia,Desktop,4,51,male,English,Very comfortable,9/13/2019,9/13/2019,36.6,266.4,1,260.4,0.955
14,0,0,3,utopia,Desktop,4,30,female,English,Very comfortable,9/13/2019,9/13/2019,31.5,270.6,1,256.8,1
23,0,0,1,utopia,Desktop,4,33,Male,English,Very comfortable,9/13/2019,9/13/2019,26,268.5,0.9,236,0.909
70,0,0,3,utopia,Desktop,4,30,Female,English,Very comfortable,9/13/2019,9/13/2019,36.8,207.9,1,228,0.909
157,0,0,3,utopia,Desktop,4,22,Male,English,Very comfortable,9/13/2019,9/13/2019,48.9,431.7,0.75,480.2,0.773
170,0,0,2,utopia,Laptop,3,24,Male,English,Very comfortable,9/13/2019,9/13/2019,32,254.6,0.9,251.1,0.864
243,0,0,1,utopia,Laptop,3,28,Female,English,Very comfortable,9/14/2019,9/14/2019,23.1,386.2,1,465.1,1
279,0,0,3,utopia,Desktop,4,31,Male,Portuguese,Very comfortable,9/14/2019,9/14/2019,49.2,252.3,0.9,250.1,0.909
359,0,0,1,utopia,Desktop,4,32,Male,English,Very comfortable,9/14/2019,9/14/2019,25.8,241.7,0.9,236.3,0.909
684,0,0,1,utopia,Desktop,4,32,Male,English,Very comfortable,9/16/2019,9/16/2019,52,178.1,0.9,149.2,0.864
255,0,0,3,utopia,Desktop,4,37,male,English,Very comfortable,9/14/2019,9/14/2019,29.7,270.8,0.95,265.5,0.955
82,0,0,3,utopia,Laptop,3,30,female,English,Very comfortable,9/13/2019,9/13/2019,46.3,157.9,1,141.3,1
410,0,0,3,utopia,Desktop,4,23,Female,English,Very comfortable,9/14/2019,9/14/2019,27.4,266.1,1,225.5,1
406,0,0,2,times,Laptop,3,22,male,English,Very comfortable,9/14/2019,9/14/2019,20.1,456.2,0.85,458.3,0.773
22,0,0,3,times,Desktop,4,26,Female,English,Very comfortable,9/13/2019,9/13/2019,29.4,341.9,0.83,340.5,0.864
44,0,0,3,times,Desktop,4,42,Male,English,Very comfortable,9/13/2019,9/13/2019,39.4,340.3,0.92,336.5,0.909
63,0,0,3,times,Laptop,3,24,Female,English,Very comfortable,9/13/2019,9/13/2019,20.8,335.7,0.92,328.3,0.955
66,0,0,2,times,Desktop,4,28,male,English,Very comfortable,9/13/2019,9/13/2019,36.5,190.3,0.83,195.7,0.909
158,0,0,3,times,Phone,1,27,Female,English,Very comfortable,9/13/2019,9/13/2019,44.2,258.4,0.95,256.1,0.955
167,0,0,3,times,Laptop,3,20,Male,English,Very comfortable,9/13/2019,9/13/2019,26.8,240.7,0.95,236,0.955
180,0,0,3,times,Desktop,4,32,Male,English,Very comfortable,9/13/2019,9/13/2019,50.6,414.6,0.95,429.2,0.955
192,0,0,2,times,Laptop,3,35,Male,English,Very comfortable,9/13/2019,9/13/2019,20.9,324.2,0.95,316.3,0.955
198,0,0,3,times,Tablet,2,35,Female,English,Very comfortable,9/13/2019,9/13/2019,110,159.2,0.9,106.2,0.857
200,0,0,3,times,Laptop,3,27,male,English,Very comfortable,9/13/2019,9/13/2019,22.4,224.1,1,223.6,1
207,0,0,3,times,Desktop,4,39,female,English,Very comfortable,9/13/2019,9/13/2019,68.2,357.4,0.9,342.6,0.909
210,0,0,,times,Tablet,2,35,Female,English,Very comfortable,9/13/2019,9/13/2019,32.1,203.1,1,202.5,1
211,0,0,3,times,Laptop,3,42,male,English,Very comfortable,9/13/2019,9/13/2019,42.2,185.2,0.95,177.5,0.909
223,0,0,2,times,Phone,1,21,Female,English,Very comfortable,9/13/2019,9/13/2019,42.8,182.5,0.95,146,0.955
