id_choice,id_user,id_study,font_a,font_b,winning_font,matchup,bracket,dwell_time_a,dwell_time_b,views_a,views_b,width,height,device,study_step,timestamp
35873,2,3880,georgia,times,times,1,winners,1313.0249999994703,2060.649999999441,1,1,1367,798,Chrome|*|Mac OS|*|undefined,normal,1616099780797
35874,2,3880,open_sans,roboto,open_sans,2,winners,2764.8950000002515,1106.3099999992119,2,1,1367,798,Chrome|*|Mac OS|*|undefined,normal,1616099782857
35875,2,3880,arial,poppins,poppins,3,winners,2370.1100000016595,3922.3200000014913,2,2,1367,798,Chrome|*|Mac OS|*|undefined,normal,1616099785441
35876,2,3880,source_serif_pro,merriweather,merriweather,4,winners,4077.8149999987363,5756.755000000339,2,2,1367,798,Chrome|*|Mac OS|*|undefined,normal,1616099788989
35877,2,3880,source_serif_pro,roboto,roboto,5,losers,2989.869999999428,4217.33999999924,2,2,1367,798,Chrome|*|Mac OS|*|undefined,normal,1616099791769
35878,2,3880,arial,georgia,arial,6,losers,4315.605000001597,2219.5100000008097,2,1,1367,798,Chrome|*|Mac OS|*|undefined,normal,1616099794649
35879,2,3880,times,open_sans,open_sans,7,winners,751.9449999999779,1515.2649999999994,1,1,1367,798,Chrome|*|Mac OS|*|undefined,normal,1616099796166
35880,2,3880,merriweather,poppins,poppins,8,winners,715.1750000011816,1725.1750000014,1,1,1367,798,Chrome|*|Mac OS|*|undefined,normal,1616099797893
35881,2,3880,times,roboto,roboto,9,losers,736.189999999624,1460.4699999999866,1,1,1367,798,Chrome|*|Mac OS|*|undefined,normal,1616099799357
35882,2,3880,merriweather,arial,arial,10,losers,649.3000000009488,1423.1250000011642,1,1,1367,798,Chrome|*|Mac OS|*|undefined,normal,1616099800783
35883,2,3880,open_sans,poppins,poppins,11,winners,647.689999999784,1992.2850000002654,1,1,1367,798,Chrome|*|Mac OS|*|undefined,normal,1616099802777
35884,2,3880,open_sans,roboto,roboto,12,losers,635.4800000008254,1319.3449999998847,1,1,1367,798,Chrome|*|Mac OS|*|undefined,normal,1616099804099
35885,2,3880,arial,roboto,roboto,13,losers,518.8349999989441,998.5899999992398,1,1,1367,798,Chrome|*|Mac OS|*|undefined,normal,1616099805101
35886,2,3880,roboto,poppins,poppins,14,final,485.9049999995477,942.124999999578,1,1,1367,798,Chrome|*|Mac OS|*|undefined,normal,1616099806045
35887,2,3880,roboto,arial,arial,14,validation,500.63000000045577,1005.4249999993772,1,1,1367,798,Chrome|*|Mac OS|*|undefined,normal,1616099807053
35888,2,3880,poppins,merriweather,poppins,14,validation,2363.1050000003597,1232.1200000005774,2,1,1367,798,Chrome|*|Mac OS|*|undefined,normal,1616099808913
35889,2,3880,roboto,source_serif_pro,roboto,14,validation,3030.9850000012375,1797.565000000759,2,1,1367,798,Chrome|*|Mac OS|*|undefined,normal,1616099811135
35890,2,3880,roboto,source_serif_pro,roboto,14,validation,2504.6450000008917,1512.1049999997922,2,1,1367,798,Chrome|*|Mac OS|*|undefined,normal,1616099813113
35894,2,3882,georgia,poppins,poppins,1,winners,623.4700000004523,1999.4349999997212,1,1,1093,657,Chrome|*|Mac OS|*|undefined,normal,1616100204194
35895,2,3882,open_sans,source_serif_pro,source_serif_pro,2,winners,434.7299999990355,768.2649999987916,1,1,1093,657,Chrome|*|Mac OS|*|undefined,normal,1616100204967
35896,2,3882,merriweather,times,times,3,winners,394.945000000007,705.775000000358,1,1,1093,657,Chrome|*|Mac OS|*|undefined,normal,1616100205676
35897,2,3882,roboto,arial,arial,4,winners,443.06499999947846,791.4849999997386,1,1,1093,657,Chrome|*|Mac OS|*|undefined,normal,1616100206472
35898,2,3882,roboto,georgia,georgia,5,losers,418.6500000014348,793.0400000004738,1,1,1093,657,Chrome|*|Mac OS|*|undefined,normal,1616100207270
35899,2,3882,merriweather,open_sans,open_sans,6,losers,502.74999999965075,868.7399999998888,1,1,1093,657,Chrome|*|Mac OS|*|undefined,normal,1616100208142
35900,2,3882,arial,source_serif_pro,source_serif_pro,7,winners,411.6199999989476,712.5599999999395,1,1,1093,657,Chrome|*|Mac OS|*|undefined,normal,1616100208858
35901,2,3882,times,poppins,poppins,8,winners,386.8949999996403,720.3700000009121,1,1,1093,657,Chrome|*|Mac OS|*|undefined,normal,1616100209582
35902,2,3882,open_sans,georgia,georgia,9,losers,498.39500000052794,848.6350000002858,1,1,1093,657,Chrome|*|Mac OS|*|undefined,normal,1616100210436
35903,2,3882,arial,times,times,10,losers,542.3799999989569,924.7049999994488,1,1,1093,657,Chrome|*|Mac OS|*|undefined,normal,1616100211364
35904,2,3882,source_serif_pro,poppins,poppins,11,winners,475.64500000044063,826.5749999991385,1,1,1093,657,Chrome|*|Mac OS|*|undefined,normal,1616100212194
35905,2,3882,source_serif_pro,georgia,georgia,12,losers,361.1750000000029,743.1099999994331,1,1,1093,657,Chrome|*|Mac OS|*|undefined,normal,1616100212942
35906,2,3882,times,georgia,georgia,13,losers,442.50499999907333,867.1200000007957,1,1,1093,657,Chrome|*|Mac OS|*|undefined,normal,1616100213814
35907,2,3882,georgia,poppins,poppins,14,final,483.7250000000495,940.2399999999034,1,1,1093,657,Chrome|*|Mac OS|*|undefined,normal,1616100214758
35933,2971,3923,arial,georgia,arial,1,winners,7439.759999979287,4921.979999984615,3,2,1881,898,Edge|*|Windows|*|undefined,normal,1616185822935
35934,2971,3923,times,roboto,roboto,2,winners,1026.0899999993853,2468.2800000009593,1,1,1881,898,Edge|*|Windows|*|undefined,normal,1616185825435
35935,2971,3923,open_sans,source_serif_pro,open_sans,3,winners,4067.5850000116043,2123.814999999013,2,1,1881,898,Edge|*|Windows|*|undefined,normal,1616185828638
35936,2971,3923,merriweather,poppins,poppins,4,winners,1523.2300000061514,3345.450000007986,1,1,1881,898,Edge|*|Windows|*|undefined,normal,1616185832020
35937,2971,3923,source_serif_pro,times,source_serif_pro,5,losers,3733.0800000054296,1769.625000000815,2,1,1881,898,Edge|*|Windows|*|undefined,normal,1616185834825
35938,2971,3923,merriweather,georgia,merriweather,6,losers,3872.864999997546,1827.770000003511,2,1,1881,898,Edge|*|Windows|*|undefined,normal,1616185837500
35939,2971,3923,poppins,open_sans,poppins,7,winners,4125.885000015842,2167.9150000127265,2,1,1881,898,Edge|*|Windows|*|undefined,normal,1616185840728
35940,2971,3923,arial,roboto,arial,8,winners,4566.479999979492,2020.2549999958137,2,1,1881,898,Edge|*|Windows|*|undefined,normal,1616185843933
35941,2971,3923,roboto,source_serif_pro,roboto,9,losers,3026.2049999873852,1432.1899999922607,2,1,1881,898,Edge|*|Windows|*|undefined,normal,1616185846172
35942,2971,3923,open_sans,merriweather,open_sans,10,losers,4744.214999998803,3056.045000004815,2,1,1881,898,Edge|*|Windows|*|undefined,normal,1616185849958
35943,2971,3923,arial,poppins,poppins,11,winners,791.0300000075949,1955.40500000061,1,1,1881,898,Edge|*|Windows|*|undefined,normal,1616185851945
35944,2971,3923,open_sans,roboto,open_sans,12,losers,3217.9400000022724,1452.0750000083353,2,1,1881,898,Edge|*|Windows|*|undefined,normal,1616185854372
35945,2971,3923,arial,open_sans,open_sans,13,losers,900.6150000059279,2050.6400000012945,1,1,1881,898,Edge|*|Windows|*|undefined,normal,1616185856484
35946,2971,3923,poppins,open_sans,poppins,14,final,2803.295000005164,1252.4549999943702,2,1,1881,898,Edge|*|Windows|*|undefined,normal,1616185858570
35947,2971,3923,arial,georgia,arial,14,validation,2975.400000010268,1309.080000006361,2,1,1881,898,Edge|*|Windows|*|undefined,normal,1616185860748
35948,2971,3923,roboto,source_serif_pro,roboto,14,validation,3630.5300000094576,2152.4500000086846,2,1,1881,898,Edge|*|Windows|*|undefined,normal,1616185863520
35949,2971,3923,roboto,source_serif_pro,roboto,14,validation,6376.470000002882,3042.795000001206,2,1,1881,898,Edge|*|Windows|*|undefined,normal,1616185867359
35950,2971,3923,poppins,open_sans,poppins,14,validation,3055.4299999930663,1262.9499999893596,2,1,1881,898,Edge|*|Windows|*|undefined,normal,1616185869602
35954,2974,3926,times,source_serif_pro,source_serif_pro,1,winners,4577.629999999772,6257.385000004433,2,2,1883,906,Edge|*|Windows|*|undefined,normal,1616186459960
35955,2974,3926,roboto,open_sans,open_sans,2,winners,2354.2949999973644,3788.219999987632,2,2,1883,906,Edge|*|Windows|*|undefined,normal,1616186462564
35956,2974,3926,georgia,merriweather,merriweather,3,winners,2246.369999993476,4016.684999980498,2,2,1883,906,Edge|*|Windows|*|undefined,normal,1616186465270
35957,2974,3926,poppins,arial,poppins,4,winners,5748.24499998067,3708.4349999786355,3,2,1883,906,Edge|*|Windows|*|undefined,normal,1616186468299
35958,2974,3926,arial,times,arial,5,losers,2337.019999991753,1107.5249999994412,2,1,1883,906,Edge|*|Windows|*|undefined,normal,1616186470231
35959,2974,3926,roboto,georgia,roboto,6,losers,8938.544999982696,6729.095000002417,4,3,1883,906,Edge|*|Windows|*|undefined,normal,1616186474604
35960,2974,3926,open_sans,merriweather,merriweather,7,winners,2867.8149999905145,3989.964999986114,2,2,1883,906,Edge|*|Windows|*|undefined,normal,1616186477153
35961,2974,3926,source_serif_pro,poppins,poppins,8,winners,2326.1399999901187,3884.944999983418,2,2,1883,906,Edge|*|Windows|*|undefined,normal,1616186479658
35962,2974,3926,source_serif_pro,roboto,roboto,9,losers,1925.745000015013,3112.0450000162236,2,2,1883,906,Edge|*|Windows|*|undefined,normal,1616186481876
35963,2974,3926,open_sans,arial,open_sans,10,losers,2510.389999995823,1053.4199999965494,2,1,1883,906,Edge|*|Windows|*|undefined,normal,1616186483979
35964,2974,3926,merriweather,poppins,merriweather,11,winners,6226.184999992256,4140.69999998901,3,2,1883,906,Edge|*|Windows|*|undefined,normal,1616186487334
35965,2974,3926,poppins,open_sans,poppins,12,losers,2358.5449999955017,958.2550000050105,2,1,1883,906,Edge|*|Windows|*|undefined,normal,1616186489384
35966,2974,3926,roboto,poppins,poppins,13,losers,6338.704999987385,8484.364999996615,3,3,1883,906,Edge|*|Windows|*|undefined,normal,1616186493671
35967,2974,3926,merriweather,poppins,merriweather,14,final,2543.9400000032037,1100.6199999974342,2,1,1883,906,Edge|*|Windows|*|undefined,normal,1616186495730
35968,2974,3926,poppins,roboto,poppins,14,validation,2211.204999999609,1020.2149999968242,2,1,1883,906,Edge|*|Windows|*|undefined,normal,1616186497472
35969,2974,3926,poppins,open_sans,poppins,14,validation,4082.17500000319,1804.5750000019325,2,1,1883,906,Edge|*|Windows|*|undefined,normal,1616186500312
35970,2974,3926,merriweather,poppins,poppins,14,validation,1771.4350000023842,3201.1850000126287,2,2,1883,906,Edge|*|Windows|*|undefined,normal,1616186502663
35971,2974,3926,merriweather,georgia,merriweather,14,validation,2408.595000015339,1042.155000002822,2,1,1883,906,Edge|*|Windows|*|undefined,normal,1616186504589
35975,2975,3927,georgia,open_sans,georgia,1,winners,32902.03000000119,23896.284999998985,4,3,1920,981,Chrome|*|Linux|*|undefined,normal,1616186934738
35977,2975,3927,source_serif_pro,roboto,roboto,2,winners,15674.564999999478,21042.909999998403,3,3,1920,981,Chrome|*|Linux|*|undefined,normal,1616186944175
35979,2975,3927,arial,poppins,arial,3,winners,11298.650000000722,5911.290000000037,2,1,1920,981,Chrome|*|Linux|*|undefined,normal,1616186951027
35981,2975,3927,times,merriweather,times,4,winners,37067.494999997434,30048.03999999771,4,3,1920,981,Chrome|*|Linux|*|undefined,normal,1616186968095
35982,2975,3927,merriweather,source_serif_pro,source_serif_pro,5,losers,7005.1499999989755,10554.35999999824,2,2,1920,981,Chrome|*|Linux|*|undefined,normal,1616186974806
35983,2975,3927,open_sans,poppins,open_sans,6,losers,8398.51000000094,3983.9099999991013,2,1,1920,981,Chrome|*|Linux|*|undefined,normal,1616186980817
35984,2975,3927,georgia,arial,georgia,7,winners,8222.80499999947,3488.5250000006054,2,1,1920,981,Chrome|*|Linux|*|undefined,normal,1616186986898
35985,2975,3927,times,roboto,times,8,winners,14300.57999999728,8694.949999997392,3,2,1920,981,Chrome|*|Linux|*|undefined,normal,1616186994849
35986,2975,3927,source_serif_pro,open_sans,source_serif_pro,9,losers,129568.0299999927,103634.4899999965,7,6,1920,981,Chrome|*|Linux|*|undefined,normal,1616187032786
35987,2975,3927,arial,roboto,arial,10,losers,84436.12000000174,74762.3550000001,9,8,1920,981,Chrome|*|Linux|*|undefined,normal,1616187049660
35988,2975,3927,times,georgia,georgia,11,winners,11133.455000001239,15814.785000000615,3,3,1920,981,Chrome|*|Linux|*|undefined,normal,1616187058143
35989,2975,3927,arial,source_serif_pro,source_serif_pro,12,losers,14385.230000001728,19585.005000000703,3,3,1920,981,Chrome|*|Linux|*|undefined,normal,1616187067933
35990,2975,3927,source_serif_pro,times,source_serif_pro,13,losers,4841.379999999888,2100.8550000005635,2,1,1920,981,Chrome|*|Linux|*|undefined,normal,1616187071700
35991,2975,3927,georgia,source_serif_pro,source_serif_pro,14,final,25341.964999999735,30509.604999999166,5,5,1920,981,Chrome|*|Linux|*|undefined,normal,1616187081611
35992,2975,3927,georgia,source_serif_pro,source_serif_pro,15,final,17409.99499999825,23016.999999998137,4,4,1920,981,Chrome|*|Linux|*|undefined,normal,1616187090912
35993,2975,3927,roboto,source_serif_pro,source_serif_pro,15,validation,898.0700000011129,2306.8700000003446,1,1,1920,981,Chrome|*|Linux|*|undefined,normal,1616187093220
35994,2975,3927,georgia,open_sans,georgia,15,validation,28450.215000000782,21145.30999999994,4,3,1920,981,Chrome|*|Linux|*|undefined,normal,1616187106637
35995,2975,3927,georgia,arial,georgia,15,validation,14403.47999999905,7216.46999999939,2,1,1920,981,Chrome|*|Linux|*|undefined,normal,1616187116259
35996,2975,3927,source_serif_pro,open_sans,open_sans,15,validation,51963.749999998836,67253.24499999604,5,5,1920,981,Chrome|*|Linux|*|undefined,normal,1616187140349
