id_study,id_user,font,fam_level,avg_wpm,overall_error_rate
3923,2971,times,5,379.75,0.2917
3923,2971,arial,5,499.25,0.2917
3923,2971,roboto,4,391.5,0.2917
3923,2971,open_sans,4,511.25,0.2917
3923,2971,georgia,5,426.75,0.2917
3923,2971,poppins,1,427.25,0.2917
3923,2971,source_serif_pro,1,344.25,0.2917
3923,2971,merriweather,3,511.5,0.2917
3926,2974,times,5,348.75,0.2083
3926,2974,arial,5,439.25,0.2083
3926,2974,roboto,3,283.5,0.2083
3926,2974,open_sans,3,510.3333,0.2083
3926,2974,poppins,2,525.3333,0.2083
3926,2974,georgia,4,483.0,0.2083
3926,2974,source_serif_pro,3,270.5,0.2083
3926,2974,merriweather,2,502.0,0.2083
3927,2975,times,4,354.75,0.0833
3927,2975,arial,4,288.25,0.0833
3927,2975,roboto,1,237.25,0.0833
3927,2975,open_sans,4,276.75,0.0833
3927,2975,georgia,3,263.75,0.0833
3927,2975,poppins,1,294.5,0.0833
3927,2975,source_serif_pro,1,242.75,0.0833
3927,2975,merriweather,1,257.75,0.0833
3924,2972,times,3,391.5,0.0417
3924,2972,merriweather,1,286.5,0.0417
3924,2972,arial,4,362.0,0.0417
3924,2972,source_serif_pro,1,338.0,0.0417
3924,2972,roboto,1,326.5,0.0417
3924,2972,georgia,2,413.75,0.0417
3924,2972,poppins,1,282.75,0.0417
3924,2972,open_sans,2,338.0,0.0417
3930,2978,times,4,140.6667,0.0833
3930,2978,arial,4,154.0,0.0833
3930,2978,roboto,2,126.6667,0.0833
3930,2978,open_sans,2,406.5,0.0833
3930,2978,georgia,4,141.5,0.0833
3930,2978,poppins,1,324.25,0.0833
3930,2978,source_serif_pro,1,129.75,0.0833
3930,2978,merriweather,1,202.3333,0.0833
3934,2982,times,4,324.25,0.2917
3934,2982,arial,4,285.0,0.2917
3934,2982,open_sans,4,395.25,0.2917
3934,2982,roboto,2,379.25,0.2917
3934,2982,georgia,5,332.75,0.2917
3934,2982,poppins,1,341.5,0.2917
3934,2982,source_serif_pro,1,326.0,0.2917
3934,2982,merriweather,4,315.75,0.2917
3938,2987,times,2,112.0,0.0417
3938,2987,arial,4,128.5,0.0417
3938,2987,roboto,2,127.5,0.0417
3938,2987,poppins,2,106.5,0.0417
3938,2987,georgia,2,118.5,0.0417
3938,2987,open_sans,1,108.0,0.0417
3938,2987,source_serif_pro,2,114.0,0.0417
3938,2987,merriweather,1,123.0,0.0417
3946,2994,times,5,285.75,0.0417
3946,2994,arial,5,345.75,0.0417
3946,2994,roboto,3,356.75,0.0417
3946,2994,poppins,2,372.0,0.0417
3946,2994,open_sans,3,383.75,0.0417
3946,2994,georgia,3,403.75,0.0417
3946,2994,merriweather,2,365.75,0.0417
3946,2994,source_serif_pro,3,304.25,0.0417
3949,2996,arial,4,269.5,0.25
3949,2996,times,5,273.25,0.25
3949,2996,roboto,5,253.5,0.25
3949,2996,open_sans,4,241.75,0.25
3949,2996,georgia,5,309.5,0.25
3949,2996,poppins,4,250.25,0.25
3949,2996,source_serif_pro,4,256.25,0.25
3949,2996,merriweather,5,246.25,0.25
3953,2999,times,5,284.0,0.25
3953,2999,open_sans,5,643.0,0.25
3953,2999,source_serif_pro,4,458.0,0.25
3954,3000,times,1,166.75,0.0417
3954,3000,arial,5,160.25,0.0417
3954,3000,roboto,1,176.3333,0.0417
3954,3000,open_sans,4,161.0,0.0417
3954,3000,georgia,3,156.0,0.0417
3954,3000,poppins,1,187.75,0.0417
3954,3000,source_serif_pro,2,144.25,0.0417
3954,3000,merriweather,1,152.75,0.0417
3957,3004,times,4,269.0,0.125
3957,3004,arial,4,220.75,0.125
3957,3004,roboto,4,239.75,0.125
3957,3004,open_sans,4,278.75,0.125
3957,3004,poppins,1,262.75,0.125
3957,3004,georgia,3,278.75,0.125
3957,3004,merriweather,1,275.5,0.125
3957,3004,source_serif_pro,1,229.0,0.125
3958,3005,times,2,157.75,0.0833
3958,3005,arial,4,152.75,0.0833
3958,3005,roboto,1,143.6667,0.0833
3958,3005,open_sans,1,130.5,0.0833
3958,3005,georgia,2,137.0,0.0833
3958,3005,poppins,1,107.75,0.0833
3958,3005,source_serif_pro,1,175.0,0.0833
3958,3005,merriweather,1,129.0,0.0833
3959,3006,times,4,262.0,0.0833
3959,3006,arial,4,266.75,0.0833
3959,3006,roboto,1,294.0,0.0833
3959,3006,open_sans,4,241.25,0.0833
3959,3006,georgia,3,280.5,0.0833
3959,3006,poppins,1,244.0,0.0833
3959,3006,source_serif_pro,1,230.5,0.0833
3959,3006,merriweather,1,296.0,0.0833
3960,612,times,2,292.6364,1.1515
3960,612,arial,4,339.8462,1.1515
3960,612,open_sans,3,328.375,1.1515
3960,612,roboto,1,298.2,1.1515
3960,612,poppins,1,283.36,1.1515
3960,612,georgia,1,348.0,1.1515
3960,612,source_serif_pro,2,269.7391,1.1515
3960,612,merriweather,1,296.2083,1.1515
3964,3009,arial,4,573.0,0.75
3964,3009,roboto,5,358.0,0.75
3964,3009,merriweather,3,630.5,0.75
3966,3010,times,4,274.5,0.2083
3966,3010,arial,4,274.0,0.2083
3966,3010,roboto,2,252.5,0.2083
3966,3010,open_sans,3,266.0,0.2083
3966,3010,georgia,3,296.0,0.2083
3966,3010,poppins,2,335.5,0.2083
3966,3010,source_serif_pro,2,251.5,0.2083
3966,3010,merriweather,2,281.0,0.2083
3978,3019,times,4,359.75,0.125
3978,3019,arial,4,244.75,0.125
3978,3019,roboto,3,383.25,0.125
3978,3019,open_sans,3,345.75,0.125
3978,3019,georgia,2,345.5,0.125
3978,3019,poppins,1,343.75,0.125
3978,3019,source_serif_pro,3,367.5,0.125
3978,3019,merriweather,3,319.75,0.125
3981,3022,arial,3,328.25,0.2083
3981,3022,times,2,335.25,0.2083
3981,3022,roboto,1,273.25,0.2083
3981,3022,merriweather,1,291.5,0.2083
3981,3022,open_sans,1,305.5,0.2083
3981,3022,source_serif_pro,1,319.0,0.2083
3981,3022,georgia,2,336.0,0.2083
3981,3022,poppins,1,305.0,0.2083
3980,3021,times,2,307.25,0.4167
3980,3021,arial,3,246.6667,0.4167
3980,3021,roboto,3,301.25,0.4167
3980,3021,open_sans,3,239.75,0.4167
3980,3021,poppins,3,296.75,0.4167
3980,3021,georgia,3,290.75,0.4167
3980,3021,source_serif_pro,3,289.3333,0.4167
3980,3021,merriweather,3,162.25,0.4167
3986,3027,times,5,285.25,0.0417
3986,3027,arial,4,318.75,0.0417
3986,3027,roboto,2,333.25,0.0417
3986,3027,open_sans,4,326.25,0.0417
3986,3027,georgia,2,376.5,0.0417
3986,3027,poppins,2,311.25,0.0417
3986,3027,source_serif_pro,3,269.25,0.0417
3986,3027,merriweather,2,374.0,0.0417
4008,3045,roboto,5,545.0,0.7083
4008,3045,poppins,5,544.5,0.7083
3985,3026,times,4,243.0,0.3333
3985,3026,arial,4,201.5,0.3333
3985,3026,roboto,3,257.75,0.3333
3985,3026,open_sans,3,227.25,0.3333
3985,3026,georgia,3,213.25,0.3333
3985,3026,poppins,1,231.25,0.3333
3985,3026,source_serif_pro,1,235.0,0.3333
3985,3026,merriweather,1,229.0,0.3333
4011,3049,times,5,352.0,0.125
4011,3049,arial,3,325.0,0.125
4011,3049,roboto,3,283.75,0.125
4011,3049,open_sans,4,392.0,0.125
4011,3049,georgia,2,354.25,0.125
4011,3049,poppins,2,378.0,0.125
4011,3049,source_serif_pro,1,378.0,0.125
4011,3049,merriweather,1,383.75,0.125
3982,3024,times,1,459.5,0.125
3982,3024,arial,5,357.25,0.125
3982,3024,roboto,1,338.75,0.125
3982,3024,open_sans,3,359.0,0.125
3982,3024,poppins,1,283.5,0.125
3982,3024,georgia,1,289.75,0.125
3982,3024,source_serif_pro,1,345.5,0.125
3982,3024,merriweather,3,296.25,0.125
4006,3043,times,5,214.5,0.125
4006,3043,arial,5,185.5,0.125
4006,3043,open_sans,5,176.25,0.125
4006,3043,roboto,5,171.25,0.125
4006,3043,georgia,3,239.0,0.125
4006,3043,poppins,3,192.25,0.125
4006,3043,source_serif_pro,3,190.5,0.125
4006,3043,merriweather,3,184.25,0.125
3995,3032,times,3,415.5,1.0667
3995,3032,arial,3,333.0,1.0667
