pre_age,pre_language_native,pre_language_other,pre_education_level,pre_reading_speed,pre_id_user,post_do_you_feel_changing_font_attributes_such_as_size_character_spacing_word_spacing_etc_could_help_you_read_faster_,post_would_you_like_an_application_to_change_font_attributes_such_as_size_character_spacing_word_spacing_etc_for_reading_if_you_had_the_choice_,pre_reading_frequency,post_would_you_use_your_fastest_word_spacing_for_reading_if_you_had_a_choice_.maybe,post_would_you_use_your_fastest_word_spacing_for_reading_if_you_had_a_choice_.no,post_would_you_use_your_fastest_word_spacing_for_reading_if_you_had_a_choice_.yes
53,1,0,5,6,3019,6,7,8,0,0,1
36,1,0,4,5,3027,6,6,7,0,0,1
32,1,1,2,6,3022,6,7,8,1,0,0
31,1,0,1,4,3024,4,5,7,1,0,0
49,1,0,4,4,3033,3,5,6,1,0,0
38,0,0,4,5,3026,6,6,7,0,0,1
27,1,0,4,4,3036,6,6,6,1,0,0
40,1,0,3,3,3041,5,4,5,0,0,1
61,1,0,4,6,3043,6,4,5,0,0,1
39,1,0,1,4,3049,6,7,3,0,0,1
46,1,0,5,7,3046,6,6,6,1,0,0
53,1,0,5,6,3031,5,6,5,0,0,1
38,1,1,3,7,3054,5,7,8,0,0,1
31,1,0,4,4,3048,7,7,5,0,0,1
24,0,1,4,5,3059,5,5,4,0,0,1
24,1,0,3,5,3070,6,6,6,0,0,1
29,1,0,2,5,3065,7,5,0,0,0,1
23,1,0,3,7,3062,5,3,5,0,0,1
22,0,0,2,5,3071,7,7,4,0,0,1
29,1,1,4,6,3067,5,5,7,0,0,1
52,1,0,3,5,3079,6,6,3,0,0,1
25,1,0,4,7,3039,7,6,7,0,0,1
53,1,0,4,6,3085,5,5,6,1,0,0
30,1,1,5,7,3086,6,6,8,0,0,1
46,1,0,3,6,3087,5,4,8,1,0,0
21,1,1,4,5,3099,6,5,5,0,0,1
43,1,0,2,4,3100,5,6,5,0,0,1
28,1,0,4,7,3107,6,6,6,0,1,0
20,1,0,4,5,3109,6,7,7,0,0,1
41,1,0,4,5,3112,7,5,7,1,0,0
25,1,0,4,7,3104,7,6,7,0,0,1
28,1,0,4,7,3118,6,6,4,0,1,0
33,0,1,4,7,3117,6,7,8,1,0,0
28,1,0,4,6,3119,7,6,8,0,1,0
59,1,0,5,6,3122,4,4,7,1,0,0
28,1,0,4,7,3125,7,7,4,0,1,0
25,1,0,4,7,3124,7,6,8,0,1,0
28,1,0,4,7,3127,7,7,6,0,1,0
28,1,0,4,7,3128,6,6,7,0,1,0
28,1,0,4,7,3129,7,6,7,0,1,0
28,1,1,5,5,3131,7,7,7,0,0,1
37,1,0,4,4,3133,7,7,7,0,0,1
25,1,0,1,6,3135,5,5,7,1,0,0
51,1,0,1,5,3142,7,7,8,0,0,1
23,1,1,4,7,3144,7,7,8,0,0,1
19,0,0,3,5,3150,7,7,6,0,0,1
24,1,1,4,5,3155,7,7,6,0,0,1
25,1,0,4,7,3147,7,6,8,0,0,1
32,1,1,5,7,3163,6,6,8,0,0,1
32,1,1,4,6,3164,5,6,5,0,0,1
38,1,0,4,3,3166,3,4,7,1,0,0
41,1,1,1,4,3165,7,7,7,0,0,1
52,1,0,2,4,3172,6,6,3,1,0,0
29,0,1,4,7,3173,4,5,3,0,1,0
31,1,0,1,3,3175,6,6,8,0,0,1
22,1,1,2,7,3345,6,6,6,1,0,0
24,1,0,2,3,3332,5,6,1,1,0,0
34,1,0,1,5,3335,6,5,7,0,0,1
39,1,0,1,7,3370,4,4,8,0,0,1
29,1,1,4,7,3346,4,7,3,0,0,1
27,0,0,4,6,3388,4,3,6,0,0,1
68,1,0,2,4,3380,6,6,7,1,0,0
70,1,0,5,3,3393,4,3,3,0,0,1
34,1,0,2,6,3408,6,5,5,0,0,1
38,1,1,3,5,3415,5,6,6,0,0,1
35,1,0,4,6,3379,4,5,6,0,0,1
28,0,1,4,6,3400,5,6,8,0,0,1
38,1,0,4,4,3394,7,7,4,0,0,1
28,1,1,4,7,3377,6,6,6,0,0,1
53,1,1,4,6,3424,3,4,8,1,0,0
27,1,0,4,4,3434,4,4,0,0,0,1
47,1,1,4,4,3436,7,7,6,0,0,1
29,1,0,4,4,3429,6,6,8,0,0,1
52,1,0,4,5,3437,5,6,8,0,0,1
35,1,1,4,7,3362,7,6,8,0,0,1
45,0,1,4,6,3356,6,6,6,0,0,1
34,1,0,0,1,3396,6,7,5,0,0,1
19,0,0,1,5,3447,6,3,4,1,0,0
